"task 0, stage 4, rank from 24, rank to 8, color 18",
"task 0, stage 4, rank from 25, rank to 9, color 17",
"task 0, stage 4, rank from 26, rank to 10, color 4",
"task 0, stage 4, rank from 27, rank to 11, color 14",
"task 0, stage 4, rank from 28, rank to 12, color 22",
"task 0, stage 4, rank from 30, rank to 14, color 9",
"task 0, stage 4, rank from 31, rank to 15, color 20",
"task 0, stage 4, rank from 33, rank to 49, color 23",
"task 0, stage 4, rank from 34, rank to 50, color 14",
"task 0, stage 4, rank from 35, rank to 51, color 1",
"task 0, stage 4, rank from 36, rank to 52, color 1",
"task 0, stage 4, rank from 37, rank to 53, color 21",
"task 0, stage 4, rank from 40, rank to 56, color 26",
"task 0, stage 4, rank from 41, rank to 57, color 16",
"task 0, stage 4, rank from 42, rank to 58, color 10",
"task 0, stage 4, rank from 43, rank to 59, color 20",
"task 0, stage 4, rank from 44, rank to 60, color 24",
"task 0, stage 4, rank from 45, rank to 61, color 25",
"task 0, stage 4, rank from 49, rank to 33, color 15",
"task 0, stage 4, rank from 50, rank to 34, color 15",
"task 0, stage 4, rank from 51, rank to 35, color 9",
"task 0, stage 4, rank from 52, rank to 36, color 9",
"task 0, stage 4, rank from 53, rank to 37, color 15",
"task 0, stage 4, rank from 56, rank to 40, color 17",
"task 0, stage 4, rank from 57, rank to 41, color 23",
"task 0, stage 4, rank from 58, rank to 42, color 21",
"task 0, stage 4, rank from 59, rank to 43, color 11",
"task 0, stage 4, rank from 60, rank to 44, color 17",
"task 0, stage 4, rank from 61, rank to 45, color 18",
"task 0, stage 4, rank from 64, rank to 80, color 12",
"task 0, stage 4, rank from 65, rank to 81, color 12",
"task 0, stage 4, rank from 66, rank to 82, color 21",
"task 0, stage 4, rank from 67, rank to 83, color 19",
"task 0, stage 4, rank from 68, rank to 84, color 19",
"task 0, stage 4, rank from 73, rank to 89, color 5",
"task 0, stage 4, rank from 75, rank to 91, color 18",
"task 0, stage 4, rank from 76, rank to 92, color 11",
"task 0, stage 4, rank from 77, rank to 93, color 20",
"task 0, stage 4, rank from 79, rank to 95, color 13",
"task 0, stage 4, rank from 80, rank to 64, color 23",
"task 0, stage 4, rank from 81, rank to 65, color 21",
"task 0, stage 4, rank from 82, rank to 66, color 25",
"task 0, stage 4, rank from 83, rank to 67, color 24",
"task 0, stage 4, rank from 84, rank to 68, color 26",
"task 0, stage 4, rank from 89, rank to 73, color 5",
"task 0, stage 4, rank from 91, rank to 75, color 13",
"task 0, stage 4, rank from 92, rank to 76, color 10",
"task 0, stage 4, rank from 93, rank to 77, color 16",
"task 0, stage 4, rank from 95, rank to 79, color 24",
"task 0, stage 4, rank from 96, rank to 112, color 25",
"task 0, stage 4, rank from 97, rank to 113, color 26",
"task 0, stage 4, rank from 98, rank to 114, color 6",
"task 0, stage 4, rank from 99, rank to 115, color 27",
"task 0, stage 4, rank from 100, rank to 116, color 6",
"task 0, stage 4, rank from 101, rank to 117, color 14",
"task 0, stage 4, rank from 102, rank to 118, color 27",
"task 0, stage 4, rank from 103, rank to 119, color 11",
"task 0, stage 4, rank from 105, rank to 121, color 25",
"task 0, stage 4, rank from 106, rank to 122, color 27",
"task 0, stage 4, rank from 107, rank to 123, color 7",
"task 0, stage 4, rank from 108, rank to 124, color 12",
"task 0, stage 4, rank from 109, rank to 125, color 8",
"task 0, stage 4, rank from 110, rank to 126, color 12",
"task 0, stage 4, rank from 111, rank to 127, color 28",
"task 0, stage 4, rank from 112, rank to 96, color 16",
"task 0, stage 4, rank from 113, rank to 97, color 19",
